epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2781,4.95898,11.6519,6.61967,0,0,0,0,6.61601,12.0351,6.33696,0,0,0
2,28.3715,5.65173,11.9055,6.56925,0,0,0,0,6.71124,12.2045,5.90909,1.17822e-06,1.17822e-06,1.17822e-06
3,30.4082,5.43352,12.3492,6.72674,0,0,0,0,6.48458,12.2368,5.85581,2.33288e-06,2.33288e-06,2.33288e-06
4,32.5658,5.41035,11.7505,6.1895,0,0,0,0,6.65907,12.235,5.95937,3.46397e-06,3.46397e-06,3.46397e-06
5,34.6687,5.65978,11.5998,6.76582,0,0,0,0,6.85025,12.1849,5.95244,4.5715e-06,4.5715e-06,4.5715e-06
6,36.8344,5.44554,11.1591,7.14365,0,0,0,0,6.81391,11.9318,5.90586,5.65548e-06,5.65548e-06,5.65548e-06
7,39.1,5.18134,11.7635,6.4602,0,0,0,0,6.77133,11.9692,5.96795,6.71588e-06,6.71588e-06,6.71588e-06
8,41.4222,5.07108,12.0971,6.4682,0,0,0,0,6.76472,11.9384,5.99131,7.75273e-06,7.75273e-06,7.75273e-06
9,43.677,4.67717,11.4235,6.52449,0,0,0,0,6.6446,11.9075,5.9312,8.76602e-06,8.76602e-06,8.76602e-06
10,45.8546,5.74971,11.3292,6.53331,0,0,0,0,6.67551,11.8902,5.95456,9.75574e-06,9.75574e-06,9.75574e-06
11,48.002,5.44351,11.606,6.48086,0,0,0,0,6.68116,11.8915,5.94561,1.07219e-05,1.07219e-05,1.07219e-05
12,50.1522,5.23479,12.023,6.47672,0,0,0,0,6.62845,11.8235,5.99924,1.16645e-05,1.16645e-05,1.16645e-05
13,52.1206,5.12706,11.2102,5.94136,0,0,0,0,6.59769,11.8076,6.01347,1.25835e-05,1.25835e-05,1.25835e-05
14,54.3002,5.50385,12.3433,7.39616,0,0,0,0,6.5709,11.8356,6.0236,1.3479e-05,1.3479e-05,1.3479e-05
15,56.3418,4.77056,11.5527,5.83081,0,0,0,0,6.51031,11.8402,6.08305,1.43509e-05,1.43509e-05,1.43509e-05
16,58.4725,5.90553,11.343,6.64178,0,0,0,0,6.45018,11.8079,6.11722,1.51993e-05,1.51993e-05,1.51993e-05
17,60.5902,5.49003,11.16,5.82991,0,0,0,0,6.37749,11.7364,6.23285,1.60241e-05,1.60241e-05,1.60241e-05
18,62.7473,4.94792,11.0913,6.00047,0,0,0,0,6.37749,11.7364,6.23285,1.68253e-05,1.68253e-05,1.68253e-05
19,65.1277,4.89038,10.7793,5.75459,0.0098,0.01667,0.00539,0.00054,6.12003,11.7021,6.25318,1.7603e-05,1.7603e-05,1.7603e-05
20,67.2256,5.19147,12.0464,6.29577,0.0098,0.01667,0.00539,0.00054,6.12003,11.7021,6.25318,1.83571e-05,1.83571e-05,1.83571e-05
21,69.2816,5.21351,11.7306,7.14511,0.0098,0.01667,0.00539,0.00108,6.04525,11.5921,6.22626,1.90876e-05,1.90876e-05,1.90876e-05
22,71.2003,5.21411,11.203,6.48823,0.0098,0.01667,0.00539,0.00108,6.04525,11.5921,6.22626,1.97946e-05,1.97946e-05,1.97946e-05
23,73.3433,5.40577,11.2197,6.55541,0.0098,0.01667,0.0059,0.00118,5.90915,11.5242,6.26946,2.0478e-05,2.0478e-05,2.0478e-05
24,75.3918,5.08753,11.4698,6.87179,0.0098,0.01667,0.0059,0.00118,5.90915,11.5242,6.26946,2.11379e-05,2.11379e-05,2.11379e-05
25,77.7649,5.60971,11.2746,6.37514,0.0098,0.01667,0.00604,0.00181,5.85147,11.4374,6.34369,2.17741e-05,2.17741e-05,2.17741e-05
26,79.7624,5.55692,11.4172,6.49549,0.0098,0.01667,0.00604,0.00181,5.85147,11.4374,6.34369,2.23869e-05,2.23869e-05,2.23869e-05
27,81.9728,5.63629,11.1551,6.51441,0.00758,0.01667,0.00466,0.0014,5.86523,11.3582,6.27321,2.2976e-05,2.2976e-05,2.2976e-05
28,83.9344,5.08327,10.8758,5.67415,0.00758,0.01667,0.00466,0.0014,5.86523,11.3582,6.27321,2.35417e-05,2.35417e-05,2.35417e-05
29,85.8174,4.95575,10.9327,5.89506,0.01282,0.03333,0.01325,0.00217,5.80391,11.2364,6.21361,2.40837e-05,2.40837e-05,2.40837e-05
30,88.0332,5.34361,11.0303,6.51515,0.01282,0.03333,0.01325,0.00217,5.80391,11.2364,6.21361,2.46022e-05,2.46022e-05,2.46022e-05
31,90.1448,5.22999,10.6622,5.37919,0.01333,0.03333,0.01346,0.00265,5.77603,11.1274,6.1645,2.50971e-05,2.50971e-05,2.50971e-05
32,92.2487,4.69968,11.0002,5.57693,0.01333,0.03333,0.01346,0.00265,5.77603,11.1274,6.1645,2.55685e-05,2.55685e-05,2.55685e-05
33,94.3331,5.03655,12.3019,6.68996,0.02469,0.06667,0.02181,0.00598,5.80942,11.0249,6.03256,2.60163e-05,2.60163e-05,2.60163e-05
34,96.4357,4.89705,10.9722,5.81963,0.02469,0.06667,0.02181,0.00598,5.80942,11.0249,6.03256,2.64405e-05,2.64405e-05,2.64405e-05
35,98.5371,4.76331,10.8275,6.32925,0.02151,0.06667,0.02017,0.00638,5.71439,10.9435,5.98972,2.68412e-05,2.68412e-05,2.68412e-05
36,100.538,5.0509,10.9577,5.84206,0.02151,0.06667,0.02017,0.00638,5.71439,10.9435,5.98972,2.72183e-05,2.72183e-05,2.72183e-05
37,102.682,5.32289,10.9948,5.92143,0.01667,0.05,0.01554,0.00578,5.60539,10.8988,6.0181,2.75718e-05,2.75718e-05,2.75718e-05
38,104.726,4.49909,11.2522,5.25504,0.01667,0.05,0.01554,0.00578,5.60539,10.8988,6.0181,2.79018e-05,2.79018e-05,2.79018e-05
39,106.789,4.74575,11.1871,5.78843,0.01667,0.05,0.01575,0.00604,5.54299,10.8516,6.00609,2.82082e-05,2.82082e-05,2.82082e-05
40,108.745,4.47539,10.7176,5.13496,0.01667,0.05,0.01575,0.00604,5.54299,10.8516,6.00609,2.84911e-05,2.84911e-05,2.84911e-05
41,110.949,4.44054,10.6193,5.15943,0.01802,0.06667,0.01713,0.00655,5.48018,10.8119,5.97093,2.87504e-05,2.87504e-05,2.87504e-05
42,112.926,5.07748,12.3001,6.29777,0.01802,0.06667,0.01713,0.00655,5.48018,10.8119,5.97093,2.89861e-05,2.89861e-05,2.89861e-05
43,115.148,4.97738,10.5961,5.81522,0.01802,0.06667,0.018,0.00601,5.44174,10.8109,6.0138,2.91983e-05,2.91983e-05,2.91983e-05
44,117.147,5.12487,10.8937,5.6105,0.01802,0.06667,0.018,0.00601,5.44174,10.8109,6.0138,2.93869e-05,2.93869e-05,2.93869e-05
45,119.435,4.7847,10.5268,5.14664,0.01852,0.06667,0.01588,0.00578,5.44595,10.8414,5.97564,2.9552e-05,2.9552e-05,2.9552e-05
46,121.632,4.39217,10.3387,5.67117,0.01852,0.06667,0.01588,0.00578,5.44595,10.8414,5.97564,2.96935e-05,2.96935e-05,2.96935e-05
47,123.682,5.23164,10.9471,6.32022,0.01709,0.06667,0.01482,0.0047,5.45317,10.867,5.95603,2.98114e-05,2.98114e-05,2.98114e-05
48,125.757,5.14968,10.3682,5.70341,0.01709,0.06667,0.01482,0.0047,5.45317,10.867,5.95603,2.99058e-05,2.99058e-05,2.99058e-05
49,127.827,4.60732,11.2813,6.2316,0.01709,0.06667,0.01303,0.00395,5.44697,10.8666,5.94223,2.99766e-05,2.99766e-05,2.99766e-05
50,129.96,4.87706,10.3772,5.92794,0.01709,0.06667,0.01303,0.00395,5.44697,10.8666,5.94223,3.00238e-05,3.00238e-05,3.00238e-05
51,132.058,4.50213,10.4101,5.34941,0.01709,0.06667,0.0182,0.00454,5.39654,10.8834,5.92011,3.00475e-05,3.00475e-05,3.00475e-05
52,133.992,5.07295,11.2694,5.82577,0.01709,0.06667,0.0182,0.00454,5.39654,10.8834,5.92011,3.00476e-05,3.00476e-05,3.00476e-05
53,136.076,4.87498,10.5008,5.81368,0.01709,0.06667,0.0182,0.00454,5.39654,10.8834,5.92011,3.00242e-05,3.00242e-05,3.00242e-05
54,138.377,4.97244,10.2799,5.525,0.0125,0.05,0.01203,0.00365,5.39965,10.822,5.91003,2.99772e-05,2.99772e-05,2.99772e-05
55,140.385,4.46166,10.5355,5.2923,0.0125,0.05,0.01203,0.00365,5.39965,10.822,5.91003,2.99066e-05,2.99066e-05,2.99066e-05
56,142.34,5.41475,12.3173,6.31136,0.0125,0.05,0.01203,0.00365,5.39965,10.822,5.91003,2.98125e-05,2.98125e-05,2.98125e-05
57,144.403,5.23878,10.6266,6.21453,0.01087,0.05,0.01205,0.00182,5.34492,10.7812,5.83054,2.96948e-05,2.96948e-05,2.96948e-05
58,146.282,5.40615,10.2949,5.74327,0.01087,0.05,0.01205,0.00182,5.34492,10.7812,5.83054,2.95535e-05,2.95535e-05,2.95535e-05
59,148.308,4.86377,10.2299,5.53273,0.01087,0.05,0.01205,0.00182,5.34492,10.7812,5.83054,2.93887e-05,2.93887e-05,2.93887e-05
60,150.305,5.81535,11.2585,6.39651,0.01042,0.05,0.01072,0.00184,5.3475,10.7806,5.81037,2.92003e-05,2.92003e-05,2.92003e-05
61,152.308,4.30098,9.98015,4.92336,0.01042,0.05,0.01072,0.00184,5.3475,10.7806,5.81037,2.89884e-05,2.89884e-05,2.89884e-05
62,154.349,4.57078,10.0685,5.02252,0.01042,0.05,0.01072,0.00184,5.3475,10.7806,5.81037,2.87529e-05,2.87529e-05,2.87529e-05
63,156.439,4.53759,10.2862,5.28514,0.00943,0.05,0.01005,0.0021,5.33382,10.7594,5.78859,2.84938e-05,2.84938e-05,2.84938e-05
64,158.474,4.17002,10.0136,4.81588,0.00943,0.05,0.01005,0.0021,5.33382,10.7594,5.78859,2.82112e-05,2.82112e-05,2.82112e-05
65,160.517,4.76686,10.4006,5.73757,0.00943,0.05,0.01005,0.0021,5.33382,10.7594,5.78859,2.7905e-05,2.7905e-05,2.7905e-05
66,162.611,4.41241,10.6838,5.80447,0.00862,0.05,0.00897,0.00202,5.24135,10.7584,5.80981,2.75753e-05,2.75753e-05,2.75753e-05
67,164.796,4.41649,10.0614,5.22394,0.00862,0.05,0.00897,0.00202,5.24135,10.7584,5.80981,2.7222e-05,2.7222e-05,2.7222e-05
